Name,Other names,Earliest appearance,Works featured in,Description
Penpingion[2],,,"Culhwch ac Olwen, Geraint fab Erbin","A comic character; one of the gatekeepers at Arthur's court, subservient to Glewlwyd Gafaelfawr.[2] Killed in the hunt for Twrch Trwyth.[3]"
(Lady) Ragnell,,,,"Sir Gawain's wife, in some legends mother of Percival"
Safir†,,,"Le Morte d'Arthur, Prose Tristan","Son to Esclabor, brother of Segwarides and Palamedes"
Sagramore†,Sagramor,,"Lancelot-Grail, Post-Vulgate Cycle, Prose Tristan, Le Morte d'Arthur",Ubiquitous Knight of the Round Table; various stories and origins are given for him
Segwarides†,,,"Le Morte d'Arthur, Prose Tristan","Son of Esclabor, brother of Safir and Palamedes"
Tor†,,,Le Morte d'Arthur,"Son of King Ars, adopted by Pellinore"
Ywain the Bastard†,Ywain the Adventurous,,,"Urien's illegitimate son through a seneschal, accidentally killed by Gawain"
(King) Cerdic of Wessex,,"Anglo-Saxon Chronicle, 9th century",,First King of Wessex
(King) Cynric of Wessex,,"Anglo-Saxon Chronicle, 9th century",,"Second King of Wessex, son of Cerdic"
Mordred†,"Modred, (Welsh: Medrawd, Latin: Medraut)","Annales Cambriae, c. 970",Many,"In some literature, Arthur's illegitimate son through Morgause (or Morgan le Fay), kills and is killed by Arthur"
Escanor the Large,,"Atre, Girart",,"Son of a giant and a witch, brother of Alienor, and uncle of Escanor the Handsome, he shared Gawain’s power by which his strength waxed and waned with the sun."
(King) Constans son of Constantine,,Based on the historical figure Constans,Historia Regum Britanniae,"Son of Constantine II of Britain, older brother to Uther Pendragon"
(King) Constantine II of Britain,,Based on the historical figure Constantine,Historia Regum Britanniae,"Arthur's grandfather, father to Uther Pendragon, Constans, and Ambrosius Aurelianus"
Ywain†,"(Welsh: Owain), Yvain, Ewain, Uwain",Based on the historical figure Owain mab Urien,"Historia Brittonum, Yvain, the Knight of the Lion","Urien's son, Morvydd's brother"
Madoc,Madawg,Book of Taliesin,Stanzas of the Graves,"Son of Uther Pendragon, brother of Arthur in early Welsh tradition, father of Eliwlod"
Menw ap Tairgwaedd,,Culhwch and Olwen c. 1100,Welsh Triads,"Enchanter, member of Arthur's retinue"
Llamrei,,"Culhwch and Olwen, 11th century","Culhwch and Olwen, 11th century",Llamrei was a mare owned by King Arthur
Mabon ap Modron,,"Culhwch and Olwen, 11th century",Welsh Triads,"Son of Modron, kidnapped at birth, rescued by Culhwch"
Culhwch,,"Culhwch and Olwen, c. 11th century",,Cousin of Arthur's in early Welsh legend
Gawain†,"(Latin: Walwanus), (Welsh: Gwalchmai), (Irish: Balbhuaidh)","Culhwch and Olwen, c. 11th century","Conte du Graal, Lancelot-Grail cycle, Prose Tristan, Sir Gawain and the Green Knight, Le Morte D'Arthur, The Once and Future King, many short Middle English romances","Another son of Lot and Morgause, father of Gingalain"
Guinevak,Gwenhwyvach,"Culhwch and Olwen, c. 11th century","Welsh Triads, Misfortunes of Elphin",Guinevere's half-sister
(Queen) Guinevere,"(Welsh: Gwenhwyfar), (Latin: Guanhumara)","Culhwch and Olwen, c. 11th century",Many,"High Queen of Britain, wife of King Arthur, famous for her affair with Lancelot"
Gwyn ap Nudd,,"Culhwch and Olwen, c. 11th century",,"One of Arthur's knights. Brother of Edern ap Nudd, rival of Gwythyr ap Greidawl, lover of Creiddylad"
Olwen,,"Culhwch and Olwen, c. 11th century",,"Daughter of Ysbaddaden, beloved of Culhwch"
Ysbaddaden,,"Culhwch and Olwen, c. 11th century",,A giant and antagonist
Edern ap Nudd,"Edern, son of Nudd, Yder, Yver, Isdernus, Knight of the Sparrowhawk","Culhwch and Olwen, c. 1100","Erec and Enide, Geraint ac Enid, The Dream of Rhonabwy","Brother of Gwyn ap Nudd, rival to Erec/Geraint, originally a hostile figure, later a member of Arthur's retinue"
Hueil mab Caw,Huail,"Culhwch and Olwen, c. 1110","Vita Gildae, Welsh Triads","A Pictish plunderer and chieftain, killed by Arthur, brother to Saint Gildas"
Modron,,"Culhwch and Olwen, Welsh Triads, 11th century",Welsh Triads,"Mother of Mabon, in another folktale, she is the mother of Owain (Ywain) and Morvydd by Urien, Possible source for Morgan le Fay"
Daniel von Blumenthal†,,"Daniel von Blumenthal, 1220",,A Knight of the Round Table found in an early German offshoot of Arthurian legend
Aurelius Ambrosius,Ambrosius Aurelianus,De Excidio et Conquestu Britanniae c. 540s,Historia Brittonum c. 820,"Uther Pendragon's brother, High King of Britain before him"
Tom Thumb,,Discovery of Witchcraft,"The History of Tom Thumb, Tom Thumb, The Tragedy of Tragedies","A tiny creation of Merlin, later becomes Arthur's court dwarf and an honorary knight"
Enide,Enid,"Erec and Enide, c. 1170","Idylls of the King, Geraint and Enid",Erec's wife
Gornemant,,"Erec and Enide, c. 1170","Perceval, the Story of the Grail",Percival's mentor
Gringolet,"(Welsh: Gwyn Calet, Ceincaled)","Erec and Enide, c. 1170",Sir Gawain and the Green Knight,Gawain's horse
Lancelot†,"Lancelot du Lac, Lancelot of the Lake, Launcelot","Erec and Enide, c. 1170","Lancelot, the Knight of the Cart, Lancelot-Grail, The Once and Future King, many others","Son to King Ban and Elaine, most famous for his affair with Queen Guinevere, Arthur's wife, most prominent Knight of the Round Table"
Percival†,"(Welsh: Peredur) Perceval, Parzifal","Erec and Enide, c. 1170","Perceval, the Story of the Grail, Lancelot-Grail, many","Achiever of the Holy Grail, King Pellinore's son in some tales"
Morgan Tud,,Geraint ac Enid,,Head physician of Arthur's court
Escanor the Handsome,,Girart,,"King of the White Mountain and nephew of Escanor the large, Gawain defeated him in combat after Escanor tried to abduct Sir Girflct."
Amr,"Amhar, Amir, Anir","Historia Brittonum, c. 820",Geraint and Enid,Son of King Arthur
Brutus of Britain,"Brut, Brute, (Welsh: Bryttys)","Historia Brittonum, c. 820",,"First King of Britain, a Trojan"
Vortimer,,"Historia Brittonum, c. 820",,Son of Vortigern
Constantine†,,"Historia Regum Britanniae, c. 1136","Historia Regum Britanniae, Le Morte d'Arthur","Arthur's nephew and successor to his throne, Cador's son"
Igraine,"(Latin: Igerna), (Welsh: Eigyr), (French Igerne), Ygrayne, Arnive.","Historia Regum Britanniae, c. 1136","Vulgate Merlin, Le Morte d'Arthur, The Once and Future King","Mother to King Arthur through an affair with Uther Pendragon, mother of Morgause and Morgan le Fay through her first husband Gorlois"
Lot,Loth,"Historia Regum Britanniae, c. 1136","Le Morte d'Arthur, The Once and Future King","King of Lothian, father to Gawain, Agravain, Gaheris, and Gareth"
Lucius,"Lucius Tiberius, Lucius Hiberius","Historia Regum Britanniae, c. 1136","Alliterative Morte Arthure, Le Morte d'Arthur,",A fictional Roman Emperor and antagonist to Arthur
Melehan,,"Historia Regum Britanniae, c. 1136",,Elder son of Mordred
Morgause,Anna,"Historia Regum Britanniae, c. 1136","The Once and Future King, many others","Arthur's half-sister, wife to King Lot, mother to Gawain, Agravaine, Gaheris, and Gareth, and in some traditions, also the mother of Mordred"
Rience,"Ritho, Ryence, Ryons, and Rion","Historia Regum Britanniae, c. 1136","Lancelot-Grail, Post Vulgate Cycle, Le Morte d'Arthur",King defeated by Arthur
Merlin,"(Welsh: Myrddin), Myrddin Emrys, Merlin Ambrosius, Merlyn","Historia Regum Britanniae, c. 1136, but derived from earlier Welsh tales",Many,"Wizard, guide to King Arthur"
Owain†,see Ywain,Historical figure,"Owain, or the Lady of the Fountain",Son of Urien
Taliesin,,Historical figure,"The Welsh Triads, Story of Taliesin, Alfred, Idylls of the King","Bard to King Arthur, oldest known Welsh poet"
Urien†,Uriens,Historical figure,Welsh Triads,"Father of Ywain (Owain mab Urien), husband of Morgan le Fay"
Joseph of Arimathea,,"Joseph d'Arimathie [fr], 12th century",,First keeper of the Holy Grail in Arthurian legend
Ector†,"Hector, Antor, Ectorius","Lancelot-Grail, early 13th century","The Once and Future King, Le Morte d'Arthur","Raises Arthur according to Merlin's command, father to Sir Kay"
Elaine of Benoic,,"Lancelot-Grail, early 13th century",The Once and Future King,"Wife of King Ban and mother to Lancelot, Evaine's sister"
Evaine,,"Lancelot-Grail, early 13th century",,"Wife of Bors the Elder, mother of Bors the Younger and Lionel, sister of Elaine of Benoic, aunt of Lancelot"
Galahad†,,"Lancelot-Grail, early 13th century","Lancelot-Grail, Post-Vulgate Cycle, Le Morte d'Arthur, The Once and Future King",Illegitimate son of Sir Lancelot and Elaine of Corbenic
Galehault†,"Galehalt, Galehaut","Lancelot-Grail, early 13th century",,Former enemy of Arthur who becomes close friends with Lancelot
Lanval†,"Landevale, Launfal, Lambewell","Lanval, late 12th century","Sir Landevale, Sir Launfal, Sir Lambewell",A knight of King Arthur's court who falls in love with a fairy
Andred,,Le Morte d'Arthur,,Cousin of Tristram
Elaine of Astolat,"Elaine the White, Elaine the Fair, The Lady of Shalott","Le Morte d'Arthur, 1470",The Lady of Shalott,"Daughter of Bernard of Astolat, classic Arthurian figure of unrequited love"
Lynette,,"Le Morte d'Arthur, c. 1470",Idylls of the King,"Seeks aid from Arthur to rescue her sister Lyonesse, Arthur sends an incognito Gareth, who she berates until he proves his worth"
Lyonesse,,"Le Morte d'Arthur, c. 1470",Idylls of the King,"Entrapped sister of Lynette, rescued by Gareth, whom she eventually marries"
Morien†,Moriaen,"Morien, 13th century",,Half-Moorish son of Aglovale
Kay†,"(Welsh: Cai), (Latin: Caius)","Pa Gur yv y porthaur, 10th century",Many,"Foster brother to Arthur, Sir Ector's son"
Bedivere†,"(Welsh: Bedwyr), (French: Bédoier), Bedevere","Pa Gur yv y Porthaur, c. 10th century","Vita Cadoc, Culhwch and Olwen, Stanzas of the Graves, Welsh Triads, Historia Regum Britanniae, Le Morte d'Arthur, numerous others","Returns Excalibur to The Lady of the Lake, brother to Sir Lucan"
Uther Pendragon,"(French: Uter Pendragon), (Welsh: Wthyr Bendragon, Uthr Bendragon, Uthyr Pendraeg)","Pa Gur yv y Porthaur?, c. 10th century","Historia Regum Britanniae, c. 1136; Welsh Triads; The Once and Future King",Arthur's father
Guiron le Courtois,,"Palamedes, 1235–1240","Palamedes, Guiron Compilation",Companion of Meliodas
Feirefiz†,,"Parzival, early 13th century",,Half-brother to Percival
Lohengrin,"Loherangrin, Lorengel","Parzival, early 13th century","Parzival, Lohengrin, Lorengel, Richard Wagner's Lohengrin","A knight of the Holy Grail, son of Percival"
Elaine of Corbenic,"Amite, Helaine, Helizabel","Perceval, the Story of the Grail c. 1181","The Once and Future King; Perceval le Gallois, 1978","Daughter of the Fisher King, mother of Galahad by Lancelot"
Blanchefleur,,"Perceval, the Story of the Grail, c. 1181",,"Percival's wife, niece to Gornemant"
"Fisher King, The","The Wounded King, Pelles, Pelias","Perceval, the Story of the Grail, c. 1181","Queste del Saint Graal, c. 1220; Prose Tristan, c. 1230, The Once and Future King","Guardian of the Holy Grail, Father of Elaine of Corbenic"
Orgeluse,Haughty Maiden of Logres,"Perceval, the Story of the Grail, c. 1181",,A wife of Gawain
Red Knight,,"Perceval, the Story of the Grail, c. 1181",Le Morte d'Arthur,"Appears in many tales, usually as an antagonist"
Questing Beast,Beste Glatisant (Barking Beast),"Perlesvaus, c. 1210","Gerbert's Continuation of Perceval, the Story of the Grail, Post Vulgate Suite du Merlin, Prose Tristan, Le Morte d'Arthur",A strange beast quested after by many knights associated with Pellinore and Palamedes
Mark of Cornwall,"(Latin: Marcus Cunomorus), (Cornish: Margh), (Welsh: March)",Possibly based on a historical figure from the 6th century,"Post-Vulgate Cycle, Prose Tristan, Le Morte d'Arthur, Palamedes, The Once and Future King","Tristan's uncle, husband to Iseult"
Accolon,,"Post-Vulgate Cycle, 1230s",,Morgan le Fay's love
Balan,Sir Balan le Savage,"Post-Vulgate Cycle, 1230s","Post-Vulgate Cycle, Le Morte D'Arthur",Brother to Balin
Balin,"Sir Balin le Savage, Knight with Two Swords","Post-Vulgate Cycle, 1230s","Post-Vulgate Cycle, Le Morte D'Arthur","Brother to Balan, kills the Lady of the Lake and strikes the Dolorous Stroke"
Pelleas†,Pellias,"Post-Vulgate Cycle, 1230s","Le Morte d'Arthur, Idylls of the King","A Knight of the Round table in love with Ettarre, later lover of Nimue"
Vortigern,"(Latin: Urtigernus), Guorthigirn, Vortiger, Vortigen, Gwrtheyrn","Probably a historical figure, The Ecclesiastical History of the English People, 721",,King of Britain whose decisions assisted the Anglo-Saxon invasion of Britain
Meliodas,Meliadus,Prose Tristan,Le Morte d'Arthur,"Father to Tristan, Tristan's father was named Rivalen in earlier versions"
Dinadan†,,"Prose Tristan, 1230s","Prose Tristan, Le Morte D'Arthur",Son of Sir Brunor the Senior
Palamedes†,"Palamede, Palomides","Prose Tristan, 1230s, Le Morte D'Arthur",The Once and Future King,Saracen Knight of the Round Table
Lamorak†,,"Prose Tristan, c. 1235","Lancelot-Grail Cycle, The Once and Future King","Son of King Pellinore, brother to Tor, Aglovale, Percival, and Dindrane, lover of Morgause"
Kahedin,"Kahadin, Kahedrin, Kehenis, Kehidius, possibly (Welsh: Kae Hir)",Roman de Tristan,"Prose Tristan, Le Morte D'Arthur","Brother to Iseult, son of King Hoel, had an affair with Brangaine"
Tristan†,"(Latin/Brythonic: Drustanus), (Welsh: Drystan), (Portuguese: Tristão), (Spanish: Tristán), Tristran, Tristram",Roman de Tristan,"Roman de Tristan, the two ""Folies Tristans"", ""Chevrefeuil"", Prose Tristan, Post-Vulgate Cycle, Le Morte d'Arthur","Son of Blancheflor and Rivalen (or Meliodas), Iseult's lover"
Pellam,"King Pellam of Listeneise, Pellehan",see Fisher King,,
Segurant,"Sigurant, Seguarant, Sigurant","Segurant, the Knight of the Dragon, late 13th century.",Prophecies of Merlin,"Knight of the Isle of Not-Knowing, son of Hector the Brown, Dragon slayer,"
"Green Knight, The","Bercilak, Bertilak, Bernlak, Bredbeddle","Sir Gawain and the Green Knight, 1300s","The Greene Knight, King Arthur and King Cornwall",A knight enchanted by Morgan le Fay in order to test Gawain
Hengest,Hengist,"The Ecclesiastical History of the English People, 721",Historia Regum Britanniae,"An Anglo-Saxon king killed by Uther Pendragon, Horsa's brother"
Horsa,,"The Ecclesiastical History of the English People, 721",Anglo-Saxon Chronicle,Brother to Hengest
Manawydan fab Llyr,Manawyddan,The Mabinogion,Culhwch and Olwen (circa 1100),Originally a British god; appeared as a knight of Arthur's in Culhwch and Olwen
"Faerie Knight, The",,"Tom a Lincoln part 1, 1599",,"Illegitimate son of Tom a'Lincoln and Caelia, the Faerie Queen, half brother to the Black Knight"
Tom a Lincoln†,The Red Rose Knight,"Tom a Lincoln part 1, 1599; possibly mentioned in Robert Greene's Farewell to Folly, 1591",,Illegitimate son of King Arthur through Angelica
Brangaine,"Brangaene, Brangwane, Brangien","Tristan, 12th century","Tristan poems, Post-Vulgate Cycle, Le Morte d'Arthur",Handmaid to Iseult
Morholt†,"Marhalt, Morold, Marhaus","Tristan, 12th century","Tristan poems, Prose Tristan, Post-Vulgate Cycle, Le Morte d'Arthur","Irish knight, rival of Tristan, uncle of Iseult"
Maleagant†,"Malagant, Meleagant, perhaps Melwas","Unclear, a similar character named ""Melwas"" appears in the 12th century Life of Gildas","Lancelot-Grail, Post-Vulgate Cycle, Le Morte d'Arthur",Abductor of Guinevere
Lady of the Lake,"Nimue, Viviane, Niniane, Nyneve","Unclear; a water fay is first mentioned as Lancelot's foster mother in Lancelot, the Knight of the Cart, 1170s",Many,"There are several related characters called the Lady of the Lake—their actions include giving Arthur his sword Excalibur, raising Lancelot and his cousins as foster children, enchanting Merlin, and taking the dying king to Avalon"
Erec†,,"Unclear; first literary appearance as Erec in Erec and Enide, c. 1170",see Geraint and Enid,Son of King Lac and a Knight of the Round Table
Morgan le Fay,"Morgaine, Morgain, Morgana","Unclear; first mention as Morgan in Vita Merlini, c. 1150",Many,"Sorceress, half-sister and sometime antagonist of Arthur, and (in some traditions) mother of Mordred"
Galeschin†,Galeshin,Vulgate Cycle,,"Son of Elaine of Garlot and King Nentres, nephew of Arthur"
Eliwlod,,Welsh Triads,,"Nephew to Arthur, son of Madoc, Uther Pendragon's son"
Loholt,Possibly Llacheu (similar character in Welsh sources),Welsh Triads,"Perlesvaus, Vulgate Cycle (as Loholt)",Illegitimate son of Arthur
(King) Arthur†,Arthur Pendragon,"Y Gododdin, c. 7th century",Many,"High King of Britain, ruler of Logres and lord of Camelot"
Calogrenant†,"Colgrevance, Cynan","Yvain, the Knight of the Lion, 1170s",Le Morte d'Arthur,Cousin to Sir Ywain
Esclados,,"Yvain, the Knight of the Lion, 1170s",,"Defended a magical fountain in the Forest of Broceliande, married to Laudine"
Laudine,Lady of the Fountain,"Yvain, the Knight of the Lion, 1170s","Owain, or the Lady of the Fountain, Iwein",Sir Ywain's wife
Lunete,"(Welsh: Luned), (French: Lunete, Lunet)","Yvain, the Knight of the Lion, 1170s",,Handmaiden and advisor to Laudine
